frame,obj_id,shoulder_x,shoulder_y,elbow_x,elbow_y,wrist_x,wrist_y,knee_x,knee_y
0,3,457.6865234375,330.4877014160156,460.2330017089844,349.9175720214844,448.8876953125,356.87384033203125,461.6097717285156,372.732421875
0,5,323.58935546875,351.06707763671875,321.2208557128906,370.77392578125,326.90093994140625,375.29412841796875,317.22637939453125,418.7835998535156
1,3,447.7188415527344,328.74237060546875,449.99102783203125,347.7789001464844,440.41583251953125,356.2671813964844,451.5747985839844,371.13201904296875
1,5,328.58837890625,326.2671203613281,329.4931640625,332.2480163574219,328.93963623046875,337.37603759765625,329.4931640625,348.4090881347656
2,3,441.48046875,325.98828125,443.90625,343.232421875,436.154296875,354.2328186035156,446.23712158203125,373.44921875
2,5,324.603515625,347.2060546875,325.4833984375,366.49102783203125,331.37860107421875,385.97265625,320.7372131347656,416.94451904296875
3,3,435.0980529785156,327.87811279296875,435.7835998535156,346.03985595703125,428.3480529785156,358.6539001464844,437.76641845703125,364.89764404296875
3,5,323.83026123046875,346.1294860839844,326.7752990722656,364.9072265625,339.6578063964844,386.05548095703125,318.9288024902344,403.59100341796875
4,3,429.611328125,327.2808532714844,430.87567138671875,348.26287841796875,429.3291931152344,364.0621032714844,433.9164123535156,366.23553466796875
4,5,323.171875,345.78594970703125,326.802734375,365.0625,338.2640686035156,384.0953063964844,323.75079345703125,405.60626220703125
5,3,,,,,,,,
5,5,324.6587829589844,346.4642639160156,332.5869140625,365.54705810546875,345.2857360839844,383.92694091796875,325.81689453125,396.97149658203125
6,3,415.84490966796875,323.31756591796875,418.42889404296875,341.0513610839844,415.48126220703125,353.75115966796875,412.20819091796875,361.40740966796875
6,5,325.27850341796875,345.54296875,327.38555908203125,355.2964782714844,333.95587158203125,359.13671875,323.1714782714844,398.78515625
7,3,,,,,,,,
7,5,326.80792236328125,348.498046875,324.672607421875,366.88262939453125,322.3055725097656,382.5746154785156,324.95953369140625,399.8335876464844
8,3,407.62384033203125,326.7607421875,410.03436279296875,339.6402282714844,407.484375,345.22833251953125,411.72772216796875,356.9125061035156
8,5,325.24725341796875,349.88104248046875,321.4585876464844,367.8203125,327.58673095703125,379.22772216796875,326.572265625,405.5
9,3,399.64862060546875,329.4510803222656,399.1455993652344,340.3204040527344,400.89141845703125,339.10723876953125,402.390625,371.99139404296875
9,5,326.47735595703125,354.5328063964844,321.55108642578125,371.0316467285156,321.46759033203125,382.63201904296875,325.6089782714844,404.8753967285156
10,3,406.8531188964844,306.11798095703125,402.2320251464844,310.896484375,399.09375,317.1070251464844,401.20623779296875,323.2972717285156
10,5,326.26055908203125,356.8353576660156,321.91876220703125,374.0132751464844,318.59002685546875,385.07928466796875,323.4105529785156,405.60821533203125
11,3,,,,,,,,
11,5,324.921875,357.42578125,319.7783203125,374.7880859375,313.41064453125,381.998046875,321.31689453125,404.458984375
12,3,391.26153564453125,336.8999938964844,393.5347595214844,360.8394470214844,391.6739196777344,365.38592529296875,390.83905029296875,377.8384704589844
